,0,1,2
0,0.046225715,0.337899543,223383.5416
1,1.234111126,4.187214612,440950.6653
2,0.033902392,0.139269406,391986.0577
3,5.427601788,13.89726027,176225.0437
4,8.69014594,32.82648402,142276.7986
5,5.966668248,16.95205479,119282.1571
6,0.549941645,2.006849315,182139.012
7,0.015784401,0.321917808,334517.0462
8,0.355654107,2.456621005,367747.5141
9,0.084164843,0.744292237,428958.9218
10,0.139017461,1.059360731,470354.7094
11,0.017648942,0.349315068,337231.3484
12,5.396876392,17.45890411,109345.3194
13,0.314173466,2.232876712,206495.894
14,0.004851078,0.04109589,468644.0149
15,0.013828154,0.086757991,333710.9189
16,1.09613214,3.680365297,416210.6856
17,0.645283218,2.445205479,412577.0011
18,4.458591034,10.94520548,434701.0352
19,4.594463005,11.39954338,186405.144
20,0.006750129,0.121004566,252692.7629
21,0.056869086,0.488584475,442103.9646
22,1.053729857,3.933789954,165937.0924
23,0.203469954,1.01369863,161937.867
24,0.041794047,0.333333333,146534.3105
25,0.013205979,0.273972603,491691.6634
26,0.739037328,2.511415525,364199.3768
27,0.052028648,0.210045662,372875.7103
28,0.383371379,2.837899543,123059.58
29,0.887439276,3.296803653,260812.8371
30,6.034157304,14.00456621,455847.9228
31,4.31e-05,0.00456621,399834.691
32,0.013349796,0.237442922,150517.8402
33,0.014458586,0.264840183,429499.7594
34,0.017829812,0.116438356,384710.8503
35,0.016835999,0.337899543,352774.5634
36,2.307723304,8.842465753,130687.5188
37,0.006943305,0.107305936,177341.7154
38,0.023985671,0.5,153243.5476
39,0.016575676,0.305936073,329730.6941
40,0.054841377,0.221461187,374031.8366
41,0.345122585,2.422374429,189159.5884
42,0.305681283,2.184931507,484031.9996
43,0.001588413,0.020547945,287205.1763
44,1.374680419,4.47260274,210220.0736
45,2.42e-05,0.002283105,236621.8389
46,0.016489776,0.324200913,324884.5756
47,0.351094378,2.47716895,372505.379
48,7.843828523,24.01826484,136549.476
49,0.081664803,0.732876712,410640.6776
50,0.005405636,0.091324201,483352.0852
51,0.027933872,0.200913242,252436.3058
52,1.178832246,3.95890411,383457.7258
53,0.363575912,2.529680365,232347.5107
54,0.014801124,0.269406393,331739.8779
55,1.153656883,3.815068493,329606.8991
56,1.755106596,6.03652968,171832.3941
57,0.036247131,0.767123288,192978.223
58,0.037907585,0.162100457,208665.4549
59,0.366432308,2.577625571,233358.5023
60,0.06706735,0.506849315,247688.4499
61,0.08782758,0.605022831,390407.7796
62,0.703503793,2.842465753,158484.5091
63,0.005282589,0.084474886,197869.0733
64,0.010045314,0.180365297,430951.2557
65,0.01949465,0.376712329,193434.5451
66,0.739305065,2.335616438,227066.2819
67,0.120086783,0.947488584,373052.9414
68,0.497702304,3.796803653,128399.8394
69,0.004980323,0.089041096,223382.747
70,0.065158767,0.46803653,305742.0747
71,2.988490883,7.433789954,418367.3408
72,10.35494241,29.82420091,84945.5725
73,0.92305495,3.054794521,391825.3973
74,0.01925687,0.369863014,213683.839
75,3.596109638,9.150684932,237214.6755
76,7.416196795,19.30136986,244333.4352
77,0.509406288,2.175799087,241220.1369
78,1.053346123,3.799086758,204863.6495
79,0.001991753,0.025114155,301555.6314
80,0.028968108,0.207762557,397080.4736
81,0.950559798,3.127853881,473138.3148
82,0.369320406,2.561643836,327988.1916
83,0.751094232,2.849315068,123845.578
84,0.002538493,0.054794521,291553.374
85,0.14800605,1.034246575,209351.7781
86,2.130351354,5.46347032,484647.274
87,1.285401884,4.255707763,327753.4371
88,0.28037373,1.360730594,432823.9804
89,0.67834086,2.221461187,245127.2271
90,0.018505867,0.372146119,210435.4385
91,3.967917688,9.404109589,371468.798
92,0.036247131,0.767123288,172416.1785
93,2.163387785,5.728310502,357094.7425
94,0.01715345,0.114155251,457644.5517
95,0.017189263,0.335616438,416254.6337
96,1.133321805,3.445205479,185533.3366
97,1.400707546,5.50456621,375069.5181
98,0.00172761,0.02283105,299468.6115
99,6.765836529,15.60045662,422891.8461
100,0.178712102,0.965753425,315562.566
101,0.007850443,0.057077626,307973.0414
102,0.257857276,1.787671233,469611.9394
103,0.019029254,0.378995434,197418.1594
104,0.040644839,0.299086758,222747.1984
105,0.012273564,0.242009132,373367.4482
106,0.014951989,0.303652968,354690.998
107,0.036767144,0.152968037,207742.6502
108,0.511764064,4.070776256,128329.1351
109,1.555869442,10.18493151,156964.4551
110,6.546488386,15.28767123,443216.5664
111,0.95472485,3.187214612,344953.2972
112,0.064906777,0.465753425,266631.2197
113,3.306740726,12.83333333,120189.8389
114,6.629141995,19.61643836,101482.6528
115,0.023128297,0.157534247,355218.8534
116,0.434669205,3.175799087,164146.1222
